PeakID (cmd=annotatePeaks.pl /hpc/users/divagt01/watanabe/Divagar/ChIP_seq_files/consensus_peaks_files/shared_peaks.bed hg38 -annStats shared_peaks_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3343	chr6	83853680	83853940	+	0	NA	intron (NM_001009994, intron 2 of 3)	CpG	267	NR_103525	134701	Hs.149454	NM_001009994	ENSG00000203877	RIPPLY2	C6orf159|SCDO6|dJ237I15.1	ripply transcriptional repressor 2	protein-coding
3499	chr7	55366363	55366550	+	0	NA	intron (NM_018697, intron 1 of 8)	CpG	1008	NM_018697	55915	Hs.595384	NM_018697	ENSG00000132434	LANCL2	GPR69B|TASP	LanC like 2	protein-coding
3956	chr9	128829576	128829701	+	0	NA	intron (NM_016390, intron 1 of 11)	CpG	183	NM_016390	51490	Hs.224137	NM_016390	ENSG00000198917	SPOUT1	C9orf114|CENP-32|CENP32|HSPC109	SPOUT domain containing methyltransferase 1	protein-coding
3060	chr4	163166193	163166877	+	0	NA	exon (NM_138386, exon 1 of 8)	exon (NM_138386, exon 1 of 8)	386	NM_138386	92345	Hs.129095	NM_138386	ENSG00000145414	NAF1	-	nuclear assembly factor 1 ribonucleoprotein	protein-coding
1127	chr14	69191381	69191595	+	0	NA	promoter-TSS (NR_034165)	promoter-TSS (NR_034165)	11	NM_018199	55218	Hs.533878	NM_018199	ENSG00000081177	EXD2	C14orf114|EXDL2	exonuclease 3'-5' domain containing 2	protein-coding
3759	chr8	119873842	119874443	+	0	NA	intron (NM_001283012, intron 1 of 6)	CpG	487	NM_022783	64798	Hs.112981	NM_022783	ENSG00000155792	DEPTOR	DEP.6|DEPDC6	DEP domain containing MTOR interacting protein	protein-coding
2918	chr3	195270605	195270779	+	0	NA	exon (NM_152531, exon 1 of 4)	exon (NM_152531, exon 1 of 4)	474	NM_152531	152002	Hs.478741	NM_152531	ENSG00000173950	XXYLT1	C3orf21	xyloside xylosyltransferase 1	protein-coding
415	chr1	186375170	186375179	+	0	NA	promoter-TSS (NM_001164245)	promoter-TSS (NM_001164245)	151	NM_003292	7175	Hs.279640	NM_003292	ENSG00000047410	TPR	-	translocated promoter region, nuclear basket protein	protein-coding
869	chr12	50763659	50763892	+	0	NA	promoter-TSS (NM_005171)	promoter-TSS (NM_005171)	-231	NM_005171	466	Hs.648565	NM_005171	ENSG00000123268	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1	protein-coding
1839	chr19	796911	797457	+	0	NA	promoter-TSS (NM_031991)	promoter-TSS (NM_031991)	-208	NM_031991	5725	Hs.172550	NM_002819	ENSG00000011304	PTBP1	HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB	polypyrimidine tract binding protein 1	protein-coding
3298	chr6	35318042	35318382	+	0	NA	exon (NM_022047, exon 7 of 11)	exon (NM_022047, exon 7 of 11)	20394	NM_022047	50619	Hs.15476	NM_022047	ENSG00000023892	DEF6	IBP|SLAT|SWAP70L	DEF6 guanine nucleotide exchange factor	protein-coding
1336	chr16	15094080	15094342	+	0	NA	promoter-TSS (NR_125434)	promoter-TSS (NR_125434)	124	NM_018427	54700	Hs.460078	NM_018427	ENSG00000085721	RRN3	A-270G1.2|TIFIA	RRN3 homolog, RNA polymerase I transcription factor	protein-coding
1261	chr15	85137540	85137725	+	0	NA	intron (NM_001243137, intron 21 of 21)	intron (NM_001243137, intron 21 of 21)	67655	NR_049748								
384	chr1	168226069	168226119	+	0	NA	promoter-TSS (NM_199344)	promoter-TSS (NM_199344)	77	NM_199344	375035	Hs.645435	NM_199344	ENSG00000213064	SFT2D2	UNQ512|dJ747L4.C1.2	SFT2 domain containing 2	protein-coding
3721	chr8	75407147	75407726	+	0	NA	promoter-TSS (NM_001330561)	promoter-TSS (NM_001330561)	-234	NM_001330561	3174	Hs.241529	NM_004133	ENSG00000164749	HNF4G	NR2A2|NR2A3	hepatocyte nuclear factor 4 gamma	protein-coding
2550	chr20	63741107	63741480	+	0	NA	intron (NM_020062, intron 2 of 7)	intron (NM_020062, intron 2 of 7)	1435	NM_020062	56731	Hs.435126	NM_020062	ENSG00000125520	SLC2A4RG	GEF|HDBP-1|HDBP1|Si-1-2|Si-1-2-19	SLC2A4 regulator	protein-coding
1559	chr17	29591830	29592163	+	0	NA	Intergenic	Intergenic	-1513	NM_152345	124930	Hs.662164	NM_152345	ENSG00000198720	ANKRD13B	-	ankyrin repeat domain 13B	protein-coding
2545	chr20	62937736	62938038	+	0	NA	promoter-TSS (NM_022105)	promoter-TSS (NM_022105)	65	NM_080797	11083	Hs.517172	NM_022105	ENSG00000101191	DIDO1	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	death inducer-obliterator 1	protein-coding
2723	chr22	50261032	50261279	+	0	NA	intron (NM_002969, intron 2 of 11)	CpG	655	NM_002969	6300	Hs.432642	NM_002969	ENSG00000188130	MAPK12	ERK-6|ERK3|ERK6|MAPK 12|P38GAMMA|PRKM12|SAPK-3|SAPK3	mitogen-activated protein kinase 12	protein-coding
292	chr1	114716699	114716991	+	0	NA	promoter-TSS (NM_002524)	promoter-TSS (NM_002524)	49	NM_002524	4893	Hs.486502	NM_002524	ENSG00000213281	NRAS	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6	NRAS proto-oncogene, GTPase	protein-coding
900	chr12	57522128	57522461	+	0	NA	promoter-TSS (NM_052897)	promoter-TSS (NM_052897)	-582	NM_052897	114785	Hs.524523	NM_052897	ENSG00000166987	MBD6	-	methyl-CpG binding domain protein 6	protein-coding
2830	chr3	129161199	129161332	+	0	NA	promoter-TSS (NM_001199469)	promoter-TSS (NM_001199469)	-35	NM_020701	57461	Hs.512661	NM_020701	ENSG00000240682	ISY1	FSAP33	ISY1 splicing factor homolog	protein-coding
951	chr12	109573074	109573658	+	0	NA	promoter-TSS (NM_001301182)	promoter-TSS (NM_001301182)	187	NM_052845	326625	Hs.12106	NM_052845	ENSG00000139428	MMAB	ATR|CFAP23|cblB|cob	metabolism of cobalamin associated B	protein-coding
3679	chr8	22141445	22141484	+	0	NA	exon (NM_001316964, exon 1 of 7)	exon (NM_001316964, exon 1 of 7)	487	NM_025232	80346	Hs.289063	NM_025232	ENSG00000168476	REEP4	C8orf20|PP432|Yip2c	receptor accessory protein 4	protein-coding
1521	chr17	7844135	7844386	+	0	NA	intron (NM_001080424, intron 1 of 21)	CpG	4343	NM_001080424	23135	Hs.223678	NM_001080424	ENSG00000132510	KDM6B	JMJD3	lysine demethylase 6B	protein-coding
555	chr10	67884190	67884452	+	0	NA	promoter-TSS (NM_001142498)	promoter-TSS (NM_001142498)	-348	NM_012238	23411	Hs.369779	NM_012238	ENSG00000096717	SIRT1	SIR2|SIR2L1|SIR2alpha	sirtuin 1	protein-coding
3380	chr6	125956662	125956939	+	0	NA	promoter-TSS (NM_138571)	promoter-TSS (NM_138571)	85	NM_138571	135114	Hs.72325	NM_138571	ENSG00000111911	HINT3	HINT4	histidine triad nucleotide binding protein 3	protein-coding
1796	chr18	3450223	3450863	+	0	NA	promoter-TSS (NM_170695)	promoter-TSS (NM_170695)	371	NM_003244	7050	Hs.373550	NM_003244	ENSG00000177426	TGIF1	HPE4|TGIF	TGFB induced factor homeobox 1	protein-coding
73	chr1	22582984	22583329	+	0	NA	intron (NM_001006943, intron 3 of 4)	intron (NM_001006943, intron 3 of 4)	19654	NM_020526	2046	Hs.283613	NM_020526	ENSG00000070886	EPHA8	EEK|EK3|HEK3	EPH receptor A8	protein-coding
3701	chr8	43140852	43141144	+	0	NA	intron (NM_152419, intron 1 of 17)	CpG	549	NM_152419	138050	Hs.600384	NM_152419	ENSG00000165102	HGSNAT	HGNAT|MPS3C|RP73|TMEM76	heparan-alpha-glucosaminide N-acetyltransferase	protein-coding
1011	chr12	132429868	132430495	+	0	NA	Intergenic	MIR|SINE|MIR	-60390	NM_001142641	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
2362	chr2	117814569	117814912	+	0	NA	promoter-TSS (NM_006773)	promoter-TSS (NM_006773)	61	NM_006773	8886	Hs.744922	NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
902	chr12	57771743	57772399	+	0	NA	promoter-TSS (NM_015433)	promoter-TSS (NM_015433)	60	NM_023033	4234	Hs.42957	NM_005371	ENSG00000037897	METTL1	C12orf1|TRM8|TRMT8|YDL201w	methyltransferase like 1	protein-coding
2703	chr22	41544053	41544284	+	0	NA	5' UTR (NM_001018052, exon 1 of 5)	5' UTR (NM_001018052, exon 1 of 5)	321	NM_138338	171568	Hs.712617	NM_138338	ENSG00000100413	POLR3H	RPC22.9|RPC8	RNA polymerase III subunit H	protein-coding
290	chr1	113904905	113905442	+	0	NA	promoter-TSS (NM_001308312)	promoter-TSS (NM_001308312)	-49	NM_001253853	10717	Hs.515048	NM_006594	ENSG00000134262	AP4B1	BETA-4|CPSQ5|SPG47	adaptor related protein complex 4 subunit beta 1	protein-coding
583	chr10	97401035	97401251	+	0	NA	exon (NM_001145114, exon 1 of 32)	exon (NM_001145114, exon 1 of 32)	227	NM_015179	23223	Hs.434251	NM_015179	ENSG00000052749	RRP12	KIAA0690	ribosomal RNA processing 12 homolog	protein-coding
3596	chr7	111561711	111562203	+	0	NA	5' UTR (NM_032549, exon 1 of 6)	5' UTR (NM_032549, exon 1 of 6)	334	NM_001350960	83943	Hs.655722	NM_032549	ENSG00000184903	IMMP2L	IMMP2L-IT1|IMP2|IMP2-LIKE	inner mitochondrial membrane peptidase subunit 2	protein-coding
1501	chr17	4948143	4948214	+	0	NA	intron (NM_005022, intron 1 of 2)	CpG	908	NM_005022	5216	Hs.494691	NM_005022	ENSG00000108518	PFN1	ALS18	profilin 1	protein-coding
3075	chr5	1799891	1800033	+	0	NA	promoter-TSS (NM_032479)	promoter-TSS (NM_032479)	-120	NM_032479	64979	Hs.719465	NM_032479	ENSG00000171421	MRPL36	BRIP1|L36mt|MRP-L36|PRPL36|RPMJ	mitochondrial ribosomal protein L36	protein-coding
2097	chr19	40750910	40751861	+	0	NA	promoter-TSS (NM_001353805)	promoter-TSS (NM_001353805)	531	NM_004596	6626	Hs.466775	NM_004596	ENSG00000077312	SNRPA	Mud1|U1-A|U1A	small nuclear ribonucleoprotein polypeptide A	protein-coding
1305	chr16	2752239	2752718	+	0	NA	non-coding (NR_027275, exon 1 of 6)	non-coding (NR_027275, exon 1 of 6)	122	NR_027275	100128788	Hs.311208	NR_027274	ENSG00000205913	SRRM2-AS1	-	SRRM2 antisense RNA 1	ncRNA
3210	chr5	181244090	181244264	+	0	NA	promoter-TSS (NM_006098)	promoter-TSS (NM_006098)	-271	NM_006098	10399	Hs.5662	NM_006098	ENSG00000204628	RACK1	GNB2L1|Gnb2-rs1|H12.3|HLC-7|PIG21	receptor for activated C kinase 1	protein-coding
3602	chr7	123749207	123749580	+	0	NA	promoter-TSS (NM_003941)	promoter-TSS (NM_003941)	-322	NM_003941	8976	Hs.143728	NM_003941	ENSG00000106299	WASL	N-WASP|NWASP|WASPB	WASP like actin nucleation promoting factor	protein-coding
2990	chr4	56434865	56437196	+	0	NA	promoter-TSS (NM_002703)	promoter-TSS (NM_002703)	-73	NM_001079524	10606	Hs.518774	NM_006452	ENSG00000128050	PAICS	ADE2|ADE2H1|AIRC|PAIS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	protein-coding
750	chr11	74398577	74398894	+	0	NA	promoter-TSS (NR_039710)	promoter-TSS (NR_039710)	-270	NM_173582	283209	Hs.26612	NM_173582	ENSG00000165434	PGM2L1	BM32A|PMMLP	phosphoglucomutase 2 like 1	protein-coding
4001	chrX	1392296	1392826	+	0	NA	promoter-TSS (NM_001636)	promoter-TSS (NM_001636)	-415	NM_001636	293	Hs.350927	NM_001636	ENSG00000169100	SLC25A6	AAC3|ANT|ANT 2|ANT 3|ANT3|ANT3Y	solute carrier family 25 member 6	protein-coding
1242	chr15	70099295	70099528	+	0	NA	Intergenic	CpG-8376	-1494	NM_001105192	7090	Hs.287362	NM_005078	ENSG00000140332	TLE3	ESG|ESG3|GRG3|HsT18976	TLE family member 3, transcriptional corepressor	protein-coding
1999	chr19	17555940	17556246	+	0	NA	intron (NM_024656, intron 1 of 11)	CpG	499	NM_024656	79709	Hs.418795	NM_024656	ENSG00000130309	COLGALT1	BSVD3|ColGalT 1|GLT25D1	collagen beta(1-O)galactosyltransferase 1	protein-coding
1158	chr14	91113967	91114325	+	0	NA	promoter-TSS (NM_001286471)	promoter-TSS (NM_001286471)	133	NM_001286470	80017	Hs.309849	NM_024952	ENSG00000133943	DGLUCY	C14orf159	D-glutamate cyclase	protein-coding
1467	chr16	88811735	88812177	+	0	NA	promoter-TSS (NM_000485)	promoter-TSS (NM_000485)	-22	NM_000485	353	Hs.28914	NM_000485	ENSG00000198931	APRT	AMP|APRTD	adenine phosphoribosyltransferase	protein-coding
2964	chr4	39638877	39639201	+	0	NA	promoter-TSS (NM_174921)	promoter-TSS (NM_174921)	-41	NM_174921	201895	Hs.205952	NM_174921	ENSG00000163683	SMIM14	C4orf34	small integral membrane protein 14	protein-coding
1107	chr14	57268588	57268899	+	0	NA	promoter-TSS (NR_026895)	promoter-TSS (NR_026895)	-145	NR_026895	55745	Hs.597349	NM_018229	ENSG00000053770	AP5M1	C14orf108|MUDENG|Mu5|MuD	adaptor related protein complex 5 subunit mu 1	protein-coding
701	chr11	62573532	62573924	+	0	NA	intron (NM_001404, intron 1 of 9)	intron (NM_001404, intron 1 of 9)	260	NM_001404	1937	Hs.144835	NM_001404	ENSG00000254772	EEF1G	EF1G|GIG35	eukaryotic translation elongation factor 1 gamma	protein-coding
1456	chr16	85612774	85612982	+	0	NA	promoter-TSS (NM_001278184)	promoter-TSS (NM_001278184)	-252	NM_014615	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
2954	chr4	25030246	25030420	+	0	NA	intron (NM_018176, intron 1 of 7)	intron (NM_018176, intron 1 of 7)	459	NM_018176	55203	Hs.12488	NM_018176	ENSG00000153012	LGI2	LGIL2	leucine rich repeat LGI family member 2	protein-coding
1513	chr17	7436852	7437067	+	0	NA	exon (NM_001320444, exon 2 of 2)	exon (NM_001320444, exon 2 of 2)	-1314	NR_130156	2256	Hs.655193	NM_004112	ENSG00000161958	FGF11	FGF-11|FHF-3|FHF3	fibroblast growth factor 11	protein-coding
1408	chr16	58629728	58629754	+	0	NA	non-coding (NR_049763, exon 1 of 50)	non-coding (NR_049763, exon 1 of 50)	145	NM_016284	23019	Hs.460923	NM_016284	ENSG00000125107	CNOT1	AD-005|CDC39|NOT1|NOT1H	CCR4-NOT transcription complex subunit 1	protein-coding
1466	chr16	88811172	88811652	+	0	NA	intron (NM_001030018, intron 2 of 4)	CpG	522	NM_001030018	353	Hs.28914	NM_000485	ENSG00000198931	APRT	AMP|APRTD	adenine phosphoribosyltransferase	protein-coding
3928	chr9	113602858	113602918	+	0	NA	Intergenic	Intergenic	8734	NM_001276262	5998	Hs.494875	NM_017790	ENSG00000138835	RGS3	C2PA|RGP3	regulator of G protein signaling 3	protein-coding
2711	chr22	43955039	43955221	+	0	NA	promoter-TSS (NM_015380)	promoter-TSS (NM_015380)	-251	NM_015380	25813	Hs.505824	NM_015380	ENSG00000100347	SAMM50	CGI-51|OMP85|SAM50|TOB55|TRG-3|YNL026W	SAMM50 sorting and assembly machinery component	protein-coding
1168	chr14	95533995	95534639	+	0	NA	promoter-TSS (NM_016417)	promoter-TSS (NM_016417)	555	NR_001459	283596	Hs.448753	NR_001459		SNHG10	C14orf62|LINC00063|NCRNA00063	small nucleolar RNA host gene 10	ncRNA
3191	chr5	173616632	173617024	+	0	NA	promoter-TSS (NM_001159651)	promoter-TSS (NM_001159651)	-165	NM_001159651	91272	Hs.425091	NM_138369	ENSG00000145919	BOD1	FAM44B	biorientation of chromosomes in cell division 1	protein-coding
671	chr11	35619112	35619918	+	0	NA	exon (NM_014344, exon 1 of 1)	exon (NM_014344, exon 1 of 1)	1328	NM_014344	24147	Hs.39384	NM_014344	ENSG00000179431	FJX1	-	four-jointed box kinase 1	protein-coding
3373	chr6	111483019	111483207	+	0	NA	promoter-TSS (NR_034111)	promoter-TSS (NR_034111)	-359	NR_034108	643749	Hs.486228	NR_034108	ENSG00000231889	TRAF3IP2-AS1	C6UAS|C6orf3|NCRNA00248|TRAF3IP2-AS2	TRAF3IP2 antisense RNA 1	ncRNA
1457	chr16	85613130	85613497	+	0	NA	5' UTR (NM_001278184, exon 1 of 15)	5' UTR (NM_001278184, exon 1 of 15)	183	NM_001278184	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
1106	chr14	56754951	56755240	+	0	NA	Intergenic	Intergenic	50568	NM_172337	5015	Hs.288655	NM_021728	ENSG00000165588	OTX2	CPHD6|MCOPS5	orthodenticle homeobox 2	protein-coding
1003	chr12	130872551	130872840	+	0	NA	intron (NM_006325, intron 2 of 6)	intron (NM_006325, intron 2 of 6)	701	NM_006325	5901	Hs.10842	NM_006325	ENSG00000132341	RAN	ARA24|Gsp1|TC4	RAN, member RAS oncogene family	protein-coding
391	chr1	173824426	173824616	+	0	NA	promoter-TSS (NM_001171182)	promoter-TSS (NM_001171182)	118	NM_001127181	91687	Hs.531856	NM_033319	ENSG00000120334	CENPL	C1orf155|CENP-L|dJ383J4.3	centromere protein L	protein-coding
3713	chr8	66428962	66429394	+	0	NA	promoter-TSS (NR_040434)	promoter-TSS (NR_040434)	150	NM_015169	23212	Hs.71827	NM_015169	ENSG00000179041	RRS1	-	ribosome biogenesis regulator 1 homolog	protein-coding
637	chr11	6603305	6603675	+	0	NA	promoter-TSS (NM_001278442)	promoter-TSS (NM_001278442)	160	NM_015324	23378	Hs.652255	NM_015324	ENSG00000132275	RRP8	KIAA0409|NML	ribosomal RNA processing 8	protein-coding
2193	chr19	57614124	57614290	+	0	NA	promoter-TSS (NM_003435)	promoter-TSS (NM_003435)	-12	NM_003435	7693	Hs.469694	NM_003435	ENSG00000213762	ZNF134	pHZ-15	zinc finger protein 134	protein-coding
2096	chr19	40716893	40717082	+	0	NA	promoter-TSS (NM_025194)	promoter-TSS (NM_025194)	-102	NM_024876	79934	Hs.130712	NM_024876	ENSG00000123815	COQ8B	ADCK4|NPHS9	coenzyme Q8B	protein-coding
2371	chr2	135531814	135531988	+	0	NA	promoter-TSS (NM_032143)	promoter-TSS (NM_032143)	446	NM_001354200	23518	Hs.412462	NM_015361	ENSG00000048991	R3HDM1	R3HDM	R3H domain containing 1	protein-coding
844	chr12	39442899	39443305	+	0	NA	5' UTR (NM_001173465, exon 1 of 34)	5' UTR (NM_001173465, exon 1 of 34)	288	NM_001173463	55605	Hs.374201	NM_017641	ENSG00000139116	KIF21A	CFEOM1|FEOM1|FEOM3A	kinesin family member 21A	protein-coding
229	chr1	67053833	67054321	+	0	NA	5' UTR (NM_015139, exon 1 of 12)	5' UTR (NM_015139, exon 1 of 12)	320	NM_015139	23169	Hs.213642	NM_015139	ENSG00000116704	SLC35D1	SHNKND|UGTREL7	solute carrier family 35 member D1	protein-coding
2848	chr3	140942298	140942650	+	0	NA	intron (NM_001104647, intron 1 of 6)	CpG	654	NM_018155	55186	Hs.144130	NM_018155	ENSG00000114120	SLC25A36	PNC2	solute carrier family 25 member 36	protein-coding
2200	chr19	58278663	58278910	+	0	NA	promoter-TSS (NR_144447)	promoter-TSS (NR_144447)	-166	NM_021089	7554	Hs.590941	NM_021089	ENSG00000278129	ZNF8	HF.18|Zfp128	zinc finger protein 8	protein-coding
48	chr1	11060283	11060495	+	0	NA	promoter-TSS (NM_003132)	promoter-TSS (NM_003132)	-355	NM_003132	6723	Hs.76244	NM_003132	ENSG00000116649	SRM	PAPT|SPDSY|SPS1|SRML1	spermidine synthase	protein-coding
3649	chr7	151018292	151018672	+	0	NA	intron (NR_073169, intron 6 of 17)	CpG-26546	6017	NM_001317056	285973	Hs.707300	NM_173681	ENSG00000181652	ATG9B	APG9L2|NOS3AS|SONE	autophagy related 9B	protein-coding
163	chr1	40161094	40161598	+	0	NA	promoter-TSS (NM_012421)	promoter-TSS (NM_012421)	-23	NM_012421	6018	Hs.205627	NM_012421	ENSG00000117000	RLF	ZN-15L|ZNF292L	rearranged L-myc fusion	protein-coding
2352	chr2	110212252	110212712	+	0	NA	exon (NM_001355251, exon 8 of 9)	exon (NM_001355251, exon 8 of 9)	-7420	NM_001128178	4867	Hs.280388	NM_000272	ENSG00000144061	NPHP1	JBTS4|NPH1|SLSN1	nephrocystin 1	protein-coding
2575	chr21	33324535	33324873	+	0	NA	promoter-TSS (NM_000629)	promoter-TSS (NM_000629)	-205	NM_000629	3454	Hs.529400	NM_000629	ENSG00000142166	IFNAR1	AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC	interferon alpha and beta receptor subunit 1	protein-coding
3597	chr7	112789956	112790459	+	0	NA	non-coding (NR_109840, exon 1 of 4)	non-coding (NR_109840, exon 1 of 4)	216	NM_001287497	64418	Hs.606345	NM_022484	ENSG00000146802	TMEM168	-	transmembrane protein 168	protein-coding
2612	chr21	45012121	45012322	+	0	NA	Intergenic	Intergenic	-7494	NR_024089	378825	Hs.534828	NR_024089	ENSG00000275874	PICSAR	C21orf113|LINC00162|NCRNA00162|NLC1-C|NLC1C|PRED74	P38 inhibited cutaneous squamous cell carcinoma associated lincRNA	ncRNA
522	chr10	5684539	5684908	+	0	NA	promoter-TSS (NM_017782)	promoter-TSS (NM_017782)	-115	NR_135800	54906	Hs.610717	NM_017782	ENSG00000108021	TASOR2	C10orf18|FAM208B|bA318E3.2	transcription activation suppressor family member 2	protein-coding
4013	chrX	56563545	56564130	+	0	NA	5' UTR (NM_013444, exon 1 of 1)	5' UTR (NM_013444, exon 1 of 1)	244	NM_013444	29978	Hs.179309	NM_013444	ENSG00000188021	UBQLN2	ALS15|CHAP1|DSK2|HRIHFB2157|N4BP4|PLIC2	ubiquilin 2	protein-coding
387	chr1	170531865	170532063	+	0	NA	promoter-TSS (NR_027397)	promoter-TSS (NR_027397)	-158	NM_001320252	92344	Hs.183702	NM_152281	ENSG00000120370	GORAB	GO|NTKLBP1|SCYL1BP1	golgin, RAB6 interacting	protein-coding
442	chr1	209827883	209828301	+	0	NA	exon (NM_014388, exon 1 of 12)	exon (NM_014388, exon 1 of 12)	125	NM_014388	27042	Hs.194754	NM_014388	ENSG00000117597	UTP25	C1orf107|DEF|DIEXF|DJ434O14.5	UTP25 small subunit processor component	protein-coding
1797	chr18	9102689	9102749	+	0	NA	promoter-TSS (NM_021074)	promoter-TSS (NM_021074)	89	NM_021074	4729	Hs.464572	NM_021074	ENSG00000178127	NDUFV2	CI-24k|MC1DN7	NADH:ubiquinone oxidoreductase core subunit V2	protein-coding
556	chr10	68331460	68332741	+	0	NA	promoter-TSS (NM_001322453)	promoter-TSS (NM_001322453)	89	NM_001322447	3189	Hs.643472	NM_012207	ENSG00000096746	HNRNPH3	2H9|HNRPH3	heterogeneous nuclear ribonucleoprotein H3	protein-coding
1209	chr15	44537555	44537831	+	0	NA	promoter-TSS (NR_034171)	promoter-TSS (NR_034171)	625	NM_003758	8669	Hs.404056	NM_003758	ENSG00000104131	EIF3J	EIF3S1|eIF3-alpha|eIF3-p35	eukaryotic translation initiation factor 3 subunit J	protein-coding
