PeakID (cmd=annotatePeaks.pl /hpc/users/divagt01/watanabe/Divagar/ChIP_seq_files/consensus_peaks_files/unique_cmyc_peaks.bed hg38 -annStats unique_cmyc_peaks_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11526	chrX	135303225	135303828	+	0	NA	intron (NM_007131, intron 1 of 6)	LTR5_Hs|LTR|ERVK	-5954	NM_001358449	110806299		NM_001358449	ENSG00000283644	ETDC	-	embryonic testis differentiation homolog C	protein-coding
4416	chr17	32179996	32180753	+	0	NA	intron (NM_001033566, intron 6 of 19)	SVA_A|Retroposon|SVA	-28803	NR_002222	503640	Hs.631752	NR_002222		ARGFXP2	-	arginine-fifty homeobox pseudogene 2	pseudo
6077	chr2	167844833	167845326	+	0	NA	intron (NM_020981, intron 1 of 1)	L1PB1|LINE|L1	26407	NM_020981	8708	Hs.735833	NM_020981	ENSG00000172318	B3GALT1	beta3Gal-T1	beta-1,3-galactosyltransferase 1	protein-coding
6892	chr22	31345565	31346597	+	0	NA	promoter-TSS (NR_120386)	promoter-TSS (NR_120386)	182	NM_032050	23598	Hs.731398	NM_014323	ENSG00000100105	PATZ1	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	POZ/BTB and AT hook containing zinc finger 1	protein-coding
8719	chr5	160264009	160264832	+	0	NA	intron (NM_001308173, intron 3 of 5)	intron (NM_001308173, intron 3 of 5)	34990	NM_001445	2172	Hs.519719	NM_001445	ENSG00000170231	FABP6	I-15P|I-BABP|I-BALB|I-BAP|ILBP|ILBP3|ILLBP	fatty acid binding protein 6	protein-coding
3708	chr15	73950995	73951493	+	0	NA	intron (NM_005576, intron 6 of 6)	intron (NM_005576, intron 6 of 6)	-22996	NR_040068	100287616	Hs.599785	NR_040066	ENSG00000261801	LOXL1-AS1	-	LOXL1 antisense RNA 1	ncRNA
5307	chr19	29844260	29844735	+	0	NA	Intergenic	CpG	32503	NM_001322262	898	Hs.244723	NM_001238	ENSG00000105173	CCNE1	CCNE|pCCNE1	cyclin E1	protein-coding
8648	chr5	150123290	150123565	+	0	NA	intron (NM_001355017, intron 14 of 22)	MIRb|SINE|MIR	-10055	NM_005211	1436	Hs.586219	NM_005211	ENSG00000182578	CSF1R	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	colony stimulating factor 1 receptor	protein-coding
10755	chr8	127397608	127398304	+	0	NA	intron (NR_117100, intron 5 of 5)	intron (NR_117100, intron 5 of 5)	-2443	NR_109834	101805488	Hs.745578	NR_109834	ENSG00000280997	CCAT2	LINC00873|NCCP1	colon cancer associated transcript 2	ncRNA
1541	chr10	34236952	34237305	+	0	NA	intron (NM_001184785, intron 22 of 24)	intron (NM_001184785, intron 22 of 24)	-464448	NR_038932	100505583	Hs.568804	NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
3480	chr14	87385679	87386326	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	269292	NR_146551	105370611	Hs.691123	NR_146551	ENSG00000258770	LINC02330	-	long intergenic non-protein coding RNA 2330	ncRNA
6462	chr20	25390871	25391284	+	0	NA	promoter-TSS (NM_015600)	promoter-TSS (NM_015600)	-95	NM_015600	26090	Hs.441550	NM_015600	ENSG00000100997	ABHD12	ABHD12A|BEM46L2|C20orf22|PHARC|dJ965G21.2|hABHD12	abhydrolase domain containing 12	protein-coding
2837	chr13	23831973	23832404	+	0	NA	intron (NM_005932, intron 14 of 18)	MSTC|LTR|ERVL-MaLR	-56699	NM_001014442	542767	Hs.642624	NM_001014442		PCOTH	C1QTNF9B-AS1	Pro-X-Gly collagen triple helix like repeat containing	protein-coding
785	chr1	150629579	150630202	+	0	NA	promoter-TSS (NM_207046)	promoter-TSS (NM_207046)	-268	NM_207168	2029	Hs.632456	NM_004436	ENSG00000143420	ENSA	ARPP-19e	endosulfine alpha	protein-coding
3247	chr13	113154359	113154968	+	0	NA	Intergenic	Intergenic	-3991	NM_001256134	8858	Hs.1011	NM_003891	ENSG00000126231	PROZ	PZ	protein Z, vitamin K dependent plasma glycoprotein	protein-coding
1493	chr10	14410196	14410663	+	0	NA	Intergenic	MIRb|SINE|MIR	-26147	NR_031668	100302116		NR_031668	ENSG00000221371	MIR1265	MIRN1265|hsa-mir-1265	microRNA 1265	ncRNA
10616	chr8	97025379	97027264	+	0	NA	intron (NM_016134, intron 5 of 7)	MIRb|SINE|MIR	251627	NM_033512	85453	Hs.173094	NM_033512	ENSG00000180543	TSPYL5	-	TSPY like 5	protein-coding
7850	chr4	47166952	47167459	+	0	NA	intron (NM_000812, intron 4 of 8)	intron (NM_000812, intron 4 of 8)	135927	NM_000812	2560	Hs.27283	NM_000812	ENSG00000163288	GABRB1	EIEE45	gamma-aminobutyric acid type A receptor beta1 subunit	protein-coding
10394	chr8	34027516	34028773	+	0	NA	Intergenic	Intergenic	-428038	NM_001305115	78986	Hs.8719	NM_024025	ENSG00000133878	DUSP26	DSP-4|DUSP24|LDP-4|LDP4|MKP-8|MKP8|NATA1|NEAP|SKRP3	dual specificity phosphatase 26	protein-coding
11057	chr9	95131059	95131380	+	0	NA	intron (NM_000136, intron 8 of 14)	intron (NM_000136, intron 8 of 14)	-45125	NR_036109	100422842		NR_036109	ENSG00000207617	MIR3074	mir-3074	microRNA 3074	ncRNA
10536	chr8	73315424	73315822	+	0	NA	intron (NR_125388, intron 4 of 5)	intron (NR_125388, intron 4 of 5)	21021	NM_172037	157506	Hs.244940	NM_172037	ENSG00000121039	RDH10	SDR16C4	retinol dehydrogenase 10	protein-coding
7559	chr3	160730702	160731210	+	0	NA	Intergenic	MLT1E2|LTR|ERVL-MaLR	-25248	NM_139245	151742	Hs.389027	NM_139245	ENSG00000163590	PPM1L	PP2C-epsilon|PP2CE|PPM1-LIKE	protein phosphatase, Mg2+/Mn2+ dependent 1L	protein-coding
10360	chr8	28401956	28402197	+	0	NA	Intergenic	CpG	-15616	NM_018660	55893	Hs.435535	NM_018660	ENSG00000186918	ZNF395	HDBP-2|HDBP2|HDRF-2|PBF|PRF-1|PRF1|Si-1-8-14	zinc finger protein 395	protein-coding
348	chr1	40571986	40572366	+	0	NA	Intergenic	LTR5_Hs|LTR|ERVK	40615	NM_152373	127396	Hs.524767	NM_152373	ENSG00000117010	ZNF684	-	zinc finger protein 684	protein-coding
1238	chr1	211643599	211644294	+	0	NA	intron (NR_131925, intron 2 of 2)	intron (NR_131925, intron 2 of 2)	4138	NR_131925	105748977	Hs.553186	NR_131925		LINC01693	-	long intergenic non-protein coding RNA 1693	ncRNA
3044	chr13	51044331	51044944	+	0	NA	intron (NR_003923, intron 3 of 16)	intron (NR_003923, intron 3 of 16)	21520	NR_003923	2974	Hs.411573	NM_004129	ENSG00000123201	GUCY1B2	GC-SB2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)	pseudo
7379	chr3	126703613	126704746	+	0	NA	promoter-TSS (NM_032343)	promoter-TSS (NM_032343)	-41	NM_032343	84303	Hs.518119	NM_032343	ENSG00000159685	CHCHD6	CHCM1|MICOS25|Mic25|PPP1R23	coiled-coil-helix-coiled-coil-helix domain containing 6	protein-coding
1282	chr1	219617492	219618143	+	0	NA	Intergenic	Intergenic	-4672	NM_001355457	643136	Hs.647764	NM_001085394	ENSG00000215817	ZC3H11B	ZC3HDC11B	zinc finger CCCH-type containing 11B	protein-coding
7919	chr4	79852232	79852629	+	0	NA	intron (NR_026555, intron 1 of 1)	intron (NR_026555, intron 1 of 1)	24959	NR_026555	118425	Hs.104215	NR_026555	ENSG00000251321	PCAT4	GDEP|PCA4|PCAN1	prostate cancer associated transcript 4	ncRNA
1851	chr11	3642122	3642838	+	0	NA	promoter-TSS (NR_123732)	promoter-TSS (NR_123732)	-164	NM_001079536	116969	Hs.125680	NM_053017	ENSG00000167311	ART5	ARTC5	ADP-ribosyltransferase 5	protein-coding
1607	chr10	73743815	73744480	+	0	NA	promoter-TSS (NM_004922)	promoter-TSS (NM_004922)	-226	NM_004922	9632	Hs.81964	NM_004922	ENSG00000176986	SEC24C	-	SEC24 homolog C, COPII coat complex component	protein-coding
10797	chr8	130640374	130640851	+	0	NA	Intergenic	MIRb|SINE|MIR	-196952	NM_001247996	50807	Hs.655552	NM_018482	ENSG00000153317	ASAP1	AMAP1|CENTB4|DDEF1|PAG2|PAP|ZG14P	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	protein-coding
2107	chr11	83052054	83052928	+	0	NA	intron (NM_014488, intron 1 of 5)	intron (NM_014488, intron 1 of 5)	-10893	NR_033347	100379250	Hs.725115	NR_033347	ENSG00000207221	SNORA70E	U70E	small nucleolar RNA, H/ACA box 70E	snoRNA
1863	chr11	8392034	8392636	+	0	NA	3' UTR (NM_001289061, exon 13 of 13)	3' UTR (NM_001289061, exon 13 of 13)	-123700	NM_001270428	4004	Hs.654426	NM_002315	ENSG00000166407	LMO1	RBTN1|RHOM1|TTG1	LIM domain only 1	protein-coding
10184	chr7	155165959	155166458	+	0	NA	Intergenic	LTR1A1|LTR|ERV1	-94651	NR_038945	100128264	Hs.248137	NR_038945	ENSG00000220575	HTR5A-AS1	HTR5AOS	HTR5A antisense RNA 1	ncRNA
6274	chr2	221572266	221572656	+	0	NA	promoter-TSS (NM_001304537)	promoter-TSS (NM_001304537)	-103	NM_001304537	2043	Hs.371218	NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
1219	chr1	210328643	210328990	+	0	NA	promoter-TSS (NM_001170587)	promoter-TSS (NM_001170587)	-90	NM_001170587	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
9291	chr6	108560566	108561081	+	0	NA	promoter-TSS (NM_001455)	promoter-TSS (NM_001455)	-43	NM_001455	2309	Hs.220950	NM_001455	ENSG00000118689	FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	forkhead box O3	protein-coding
754	chr1	145764944	145766514	+	0	NA	intron (NM_014455, intron 4 of 8)	intron (NM_014455, intron 4 of 8)	46283	NR_103845	11126	Hs.488237	NM_007053	ENSG00000117281	CD160	BY55|NK1|NK28	CD160 molecule	protein-coding
7938	chr4	83827739	83828054	+	0	NA	Intergenic	L2c|LINE|L2	291579	NM_032717	84803	Hs.99196	NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
9990	chr7	105887475	105888057	+	0	NA	Intergenic	Intergenic	-11181	NM_152749	222255	Hs.745056	NM_020725	ENSG00000146776	ATXN7L1	ATXN7L4	ataxin 7 like 1	protein-coding
7982	chr4	98848379	98848871	+	0	NA	Intergenic	MER41-int|LTR|ERV1	80467	NM_001130678	1977	Hs.13211	NM_001968	ENSG00000151247	EIF4E	AUTS19|CBP|EIF4E1|EIF4EL1|EIF4F|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
10356	chr8	27772346	27772859	+	0	NA	promoter-TSS (NM_001304532)	promoter-TSS (NM_001304532)	51	NR_130761	55246	Hs.445512	NM_018246	ENSG00000147419	CCDC25	-	coiled-coil domain containing 25	protein-coding
11110	chr9	111975634	111976156	+	0	NA	Intergenic	Intergenic	43795	NR_039814	100616114		NR_039814	ENSG00000266315	MIR4668	mir-4668	microRNA 4668	ncRNA
2164	chr11	113374025	113374284	+	0	NA	TTS (NR_147891)	TTS (NR_147891)	-13637	NM_178510	255239	Hs.448473	NM_178510	ENSG00000170209	ANKK1	PKK2|sgK288	ankyrin repeat and kinase domain containing 1	protein-coding
2887	chr13	32214214	32214586	+	0	NA	intron (NM_023037, intron 35 of 60)	MER30|DNA|hAT-Charlie	97554	NM_001136571	646799	Hs.569254	NM_001136571	ENSG00000189167	ZAR1L	Z3CXXC7|ZAR2	zygote arrest 1 like	protein-coding
11134	chr9	114824522	114825146	+	0	NA	Intergenic	MIRb|SINE|MIR	-18706	NM_005118	9966	Hs.23349	NM_005118	ENSG00000181634	TNFSF15	TL1|TL1A|TNLG1B|VEGI|VEGI192A	TNF superfamily member 15	protein-coding
6468	chr20	29445558	29445916	+	0	NA	Intergenic	Intergenic	-2780	NR_134504	105379477	Hs.702270	NR_134504		LOC105379477	-	uncharacterized LOC105379477	ncRNA
1664	chr10	95134172	95134510	+	0	NA	Intergenic	LTR9D|LTR|ERV1	-59859	NM_207321	142827	Hs.134229	NM_207321	ENSG00000173124	ACSM6	C10orf129|bA310E22.3	acyl-CoA synthetase medium chain family member 6	protein-coding
3430	chr14	68968673	68968932	+	0	NA	intron (NM_001130004, intron 1 of 21)	MIR|SINE|MIR	10564	NM_001130004	87	Hs.235750	NM_001102	ENSG00000072110	ACTN1	BDPLT15	actinin alpha 1	protein-coding
8642	chr5	149437999	149439106	+	0	NA	Intergenic	Intergenic	7906	NR_029686	406937		NR_029686	ENSG00000276365	MIR145	MIRN145|miR-145|miRNA145	microRNA 145	ncRNA
11213	chr9	128683268	128684133	+	0	NA	promoter-TSS (NM_001122821)	promoter-TSS (NM_001122821)	45	NM_001122821	6418	Hs.436687	NM_003011	ENSG00000119335	SET	2PP2A|I2PP2A|IGAAD|IPP2A2|MRD58|PHAPII|TAF-I|TAF-IBETA	SET nuclear proto-oncogene	protein-coding
3702	chr15	72117810	72118927	+	0	NA	promoter-TSS (NM_145204)	promoter-TSS (NM_145204)	78	NM_145204	123228	Hs.513002	NM_145204	ENSG00000166192	SENP8	DEN1|NEDP1|PRSC2	SUMO peptidase family member, NEDD8 specific	protein-coding
6898	chr22	32204336	32205376	+	0	NA	promoter-TSS (NM_001159545)	promoter-TSS (NM_001159545)	-125	NM_001159545	10739	Hs.157427	NM_006605	ENSG00000128253	RFPL2	RNF79	ret finger protein like 2	protein-coding
10268	chr8	15164181	15164617	+	0	NA	intron (NM_001322880, intron 1 of 6)	MER61-int|LTR|ERV1	73884	NM_001322879	137868	Hs.545526	NM_139167	ENSG00000185053	SGCZ	ZSG1	sarcoglycan zeta	protein-coding
499	chr1	54336313	54337124	+	0	NA	intron (NM_001009955, intron 4 of 16)	intron (NM_001009955, intron 4 of 16)	69677	NM_018070	23648	Hs.476706	NM_018070	ENSG00000157216	SSBP3	CSDP|SSDP|SSDP1	single stranded DNA binding protein 3	protein-coding
7027	chr3	9955140	9955644	+	0	NA	TTS (NR_046734)	TTS (NR_046734)	-2977	NM_001318871	285368	Hs.598147	NM_207351	ENSG00000163704	PRRT3	-	proline rich transmembrane protein 3	protein-coding
6606	chr20	49447840	49448443	+	0	NA	intron (NM_004975, intron 1 of 1)	MLT1K|LTR|ERVL-MaLR	34503	NM_004975	3745	Hs.84244	NM_004975	ENSG00000158445	KCNB1	DRK1|Kv2.1	potassium voltage-gated channel subfamily B member 1	protein-coding
10871	chr8	143953695	143954351	+	0	NA	promoter-TSS (NM_201379)	promoter-TSS (NM_201379)	-103	NM_201379	5339	Hs.434248	NM_000445	ENSG00000178209	PLEC	EBS1|EBSMD|EBSND|EBSO|EBSOG|EBSPA|HD1|LGMD2Q|LGMDR17|PCN|PLEC1|PLEC1b|PLTN	plectin	protein-coding
40	chr1	2908523	2908923	+	0	NA	Intergenic	Intergenic	-112759	NM_080431	140625	Hs.236635	NM_080431	ENSG00000169717	ACTRT2	ARPM2|ARPT2|Arp-T2|HARPM2	actin related protein T2	protein-coding
9416	chr6	148247779	148248466	+	0	NA	Intergenic	Intergenic	-24154	NM_001346505	23328	Hs.193133	NM_015278	ENSG00000111961	SASH1	CAPOK|DUH1|SH3D6A|dJ323M4.1	SAM and SH3 domain containing 1	protein-coding
8400	chr5	78780055	78780489	+	0	NA	3' UTR (NM_000046, exon 8 of 8)	3' UTR (NM_000046, exon 8 of 8)	-131447	NM_005779	10184	Hs.79299	NM_005779	ENSG00000145685	LHFPL2	-	LHFPL tetraspan subfamily member 2	protein-coding
7566	chr3	167734645	167735361	+	0	NA	promoter-TSS (NM_145860)	promoter-TSS (NM_145860)	-140	NM_145859	11235	Hs.478150	NM_007217	ENSG00000114209	PDCD10	CCM3|TFAR15	programmed cell death 10	protein-coding
3670	chr15	65610928	65611466	+	0	NA	promoter-TSS (NM_001301033)	promoter-TSS (NM_001301033)	-49	NR_045106	81556	Hs.6686	NM_030800	ENSG00000138614	INTS14	C15orf44|VWA9	integrator complex subunit 14	protein-coding
5794	chr2	63712673	63713063	+	0	NA	Intergenic	Intergenic	123717	NM_001199111	4190	Hs.526521	NM_005917	ENSG00000014641	MDH1	HEL-S-32|MDH-s|MDHA|MGC:1375|MOR2	malate dehydrogenase 1	protein-coding
8788	chr5	180827145	180827619	+	0	NA	Intergenic	LTR5_Hs|LTR|ERVK	-3575	NR_045679	729678	Hs.348292	NR_027183	ENSG00000245060	LINC00847	-	long intergenic non-protein coding RNA 847	ncRNA
2325	chr12	5165610	5165952	+	0	NA	Intergenic	Intergenic	77370	NR_120476	101929584	Hs.436529	NR_120476	ENSG00000256115	LINC02443	-	long intergenic non-protein coding RNA 2443	ncRNA
8732	chr5	166846521	166846751	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	79734	NR_108020	102557615		NR_108020	ENSG00000254130	LINC01947	CTB-7E3.1	long intergenic non-protein coding RNA 1947	ncRNA
11292	chrX	990117	990395	+	0	NA	Intergenic	LTR9|LTR|ERV1	222467	NR_110830	64109	Hs.287729	NM_022148	ENSG00000205755	CRLF2	CRL2|CRLF2Y|TSLPR	cytokine receptor like factor 2	protein-coding
10856	chr8	141731623	141732616	+	0	NA	Intergenic	Intergenic	54194	NR_031636	100302147		NR_031636	ENSG00000221768	MIR1302-7	MIRN1302-7|hsa-mir-1302-7	microRNA 1302-7	ncRNA
7224	chr3	71930670	71931035	+	0	NA	Intergenic	Intergenic	-145646	NM_001126128	60675	Hs.528665	NM_021935	ENSG00000163421	PROK2	BV8|HH4|KAL4|MIT1|PK2	prokineticin 2	protein-coding
7988	chr4	101651744	101652317	+	0	NA	Intergenic	Intergenic	-138577	NM_001127507	55024	Hs.480400	NM_017935	ENSG00000153064	BANK1	BANK	B cell scaffold protein with ankyrin repeats 1	protein-coding
7932	chr4	82285269	82285479	+	0	NA	Intergenic	Intergenic	88622	NM_002138	3184	Hs.480073	NM_002138	ENSG00000138668	HNRNPD	AUF1|AUF1A|HNRPD|P37|hnRNPD0	heterogeneous nuclear ribonucleoprotein D	protein-coding
840	chr1	156081270	156081724	+	0	NA	intron (NM_001093725, intron 1 of 1)	CpG	501	NM_001093725	92312	Hs.591496	NM_001093725	ENSG00000254726	MEX3A	MEX-3A|RKHD4|RNF162	mex-3 RNA binding family member A	protein-coding
5364	chr19	39855992	39856790	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-9977	NM_001436	2091	Hs.299002	NM_001436	ENSG00000105202	FBL	FIB|FLRN|Nop1|RNU3IP1	fibrillarin	protein-coding
367	chr1	42730065	42730299	+	0	NA	Intergenic	Intergenic	10072	NM_001185117	149461	Hs.496270	NM_148960	ENSG00000164007	CLDN19	HOMG5	claudin 19	protein-coding
2411	chr12	19227953	19228488	+	0	NA	intron (NM_001256787, intron 1 of 25)	intron (NM_001256787, intron 1 of 25)	22895	NM_001256787	54477	Hs.188614	NM_019012	ENSG00000052126	PLEKHA5	PEPP-2|PEPP2	pleckstrin homology domain containing A5	protein-coding
10124	chr7	141202648	141203737	+	0	NA	intron (NM_001195278, intron 1 of 3)	intron (NM_001195278, intron 1 of 3)	128960	NM_001195278	100507421	Hs.283851	NM_001195278	ENSG00000261115	TMEM178B	-	transmembrane protein 178B	protein-coding
4990	chr18	2332911	2333398	+	0	NA	Intergenic	LTR79|LTR|ERVL	238349	NM_001308401	64863	Hs.126888	NM_022840	ENSG00000101574	METTL4	HsT661	methyltransferase like 4	protein-coding
1076	chr1	186082271	186082630	+	0	NA	intron (NM_031935, intron 56 of 106)	MLT1H|LTR|ERVL-MaLR	-213823	NM_001127709	10216	Hs.647723	NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding
4291	chr17	8376578	8376956	+	0	NA	promoter-TSS (NM_001304947)	promoter-TSS (NM_001304947)	-56	NM_001304947	124751	Hs.304604	NM_213597	ENSG00000184619	KRBA2	-	KRAB-A domain containing 2	protein-coding
5517	chr19	55331136	55331425	+	0	NA	Intergenic	MLT1F|LTR|ERVL-MaLR	-5940	NM_001085488	284417	Hs.382625	NM_001085488	ENSG00000180061	TMEM150B	DRAM3|TMEM224|TTN2	transmembrane protein 150B	protein-coding
6329	chr2	237923455	237924155	+	0	NA	Intergenic	Intergenic	-43140	NR_103500	140739	Hs.471785	NM_080678	ENSG00000184182	UBE2F	NCE2	ubiquitin conjugating enzyme E2 F (putative)	protein-coding
10009	chr7	110669353	110670454	+	0	NA	intron (NM_001350963, intron 5 of 5)	MER94|DNA|hAT-Blackjack	-421103	NM_018334	54674	Hs.3781	NM_018334	ENSG00000173114	LRRN3	FIGLER5|NLRR-3|NLRR3	leucine rich repeat neuronal 3	protein-coding
343	chr1	40000179	40000632	+	0	NA	Intergenic	SVA_F|Retroposon|SVA	-39660	NM_001350480	10487	Hs.370581	NM_006367	ENSG00000131236	CAP1	CAP|CAP1-PEN	cyclase associated actin cytoskeleton regulatory protein 1	protein-coding
1288	chr1	220491790	220492337	+	0	NA	Intergenic	Intergenic	-36120	NM_001286129	4139	Hs.497806	NM_018650	ENSG00000116141	MARK1	MARK|Par-1c|Par1c	microtubule affinity regulating kinase 1	protein-coding
1232	chr1	211486888	211487302	+	0	NA	intron (NM_183059, intron 1 of 2)	LTR29|LTR|ERV1	5822	NM_183059	343035	Hs.632495	NM_183059	ENSG00000198570	RD3	C1orf36|LCA12	retinal degeneration 3, GUCY2D regulator	protein-coding
1924	chr11	32135228	32135725	+	0	NA	Intergenic	L2c|LINE|L2	8436	NR_132770	106635521		NR_132770		SNORA88	-	small nucleolar RNA, H/ACA box 88	snoRNA
5957	chr2	120712048	120712324	+	0	NA	Intergenic	Intergenic	-85105	NM_005270	2736	Hs.111867	NM_005270	ENSG00000074047	GLI2	CJS|HPE9|PHS2|THP1|THP2	GLI family zinc finger 2	protein-coding
10860	chr8	142249991	142250526	+	0	NA	intron (NM_145003, intron 12 of 13)	intron (NM_145003, intron 12 of 13)	51902	NR_024378	619434	Hs.393308	NR_024378	ENSG00000254008	LINC00051	C8orf43|NCRNA00051	long intergenic non-protein coding RNA 51	ncRNA
5125	chr18	76672598	76672934	+	0	NA	Intergenic	MSTD|LTR|ERVL-MaLR	-17263	NR_122073	400661	Hs.514963	NR_122073	ENSG00000276397	LINC01879	-	long intergenic non-protein coding RNA 1879	ncRNA
10894	chr9	6644980	6645292	+	0	NA	intron (NM_000170, intron 1 of 24)	CpG	556	NM_000170	2731	Hs.584238	NM_000170	ENSG00000178445	GLDC	GCE|GCSP|HYGN1	glycine decarboxylase	protein-coding
3472	chr14	83133426	83134770	+	0	NA	Intergenic	Intergenic	491466	NR_146650	101928599		NR_146650	ENSG00000258743	LINC02301	-	long intergenic non-protein coding RNA 2301	ncRNA
127	chr1	15432337	15432894	+	0	NA	Intergenic	Intergenic	-5827	NM_007272	11330	Hs.631869	NM_007272	ENSG00000162438	CTRC	CLCR|ELA4	chymotrypsin C	protein-coding
8602	chr5	142013669	142013992	+	0	NA	promoter-TSS (NM_005471)	promoter-TSS (NM_005471)	-775	NM_005471	10007	Hs.633853	NM_005471	ENSG00000113552	GNPDA1	GNP1|GNPDA|GNPI|GPI|HLN	glucosamine-6-phosphate deaminase 1	protein-coding
3742	chr15	77963626	77963880	+	0	NA	Intergenic	MER77B|LTR|ERVL	30472	NR_026998	91450	Hs.406766	NR_026998		LOC91450	-	uncharacterized LOC91450	ncRNA
9769	chr7	39566122	39566629	+	0	NA	promoter-TSS (NM_020192)	promoter-TSS (NM_020192)	-1	NM_020192	57002	Hs.72168	NM_020192	ENSG00000241127	YAE1	C7orf36|CIAB2|GK003|YAE1D1	YAE1 maturation factor of ABCE1	protein-coding
7013	chr3	1950011	1950464	+	0	NA	Intergenic	MLT1A1|LTR|ERVL-MaLR	-148566	NM_001350095	152330	Hs.298705	NM_175607	ENSG00000144619	CNTN4	AXCAM|BIG-2	contactin 4	protein-coding
1425	chr1	237864202	237864802	+	0	NA	intron (NR_027247, intron 2 of 11)	LTR88a|LTR|Gypsy?	2327	NR_027247	100130331	Hs.661736	NR_027247	ENSG00000237250	LOC100130331	-	POTE ankyrin domain family, member F pseudogene	pseudo
